food_and_serving,calories,caloriesefrom_fat,total_fat_g,total_fat_dv,sodium_g,sodium_dv,potassium_g,potassium_dv,total_carbo_hydrate_g,total_carbo_hydrate_dv,dietary_fiber_g,dietary_fiber_dv,sugars_g,protein_g,vitamin_a_dv,vitamin_c_dv,calcium_dv,eeironee_dv,saturated_fat_dv,saturated_fat_mg_e,chole_sterol_dv,chole_sterol_mg_e
asparagus,20.0,0.0,0.0,0.0,0.0,0.0,230.0,7.0,4.0,1.0,2.0,8.0,2.0,2.0,10.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0
bellpepper,25.0,0.0,0.0,0.0,40.0,2.0,220.0,6.0,6.0,2.0,2.0,8.0,4.0,1.0,4.0,190.0,2.0,4.0,0.0,0.0,0.0,0.0
broccoli,45.0,0.0,0.5,1.0,80.0,3.0,460.0,13.0,8.0,3.0,3.0,12.0,2.0,4.0,6.0,220.0,6.0,6.0,0.0,0.0,0.0,0.0
carrot,30.0,0.0,0.0,0.0,60.0,3.0,250.0,7.0,7.0,2.0,2.0,8.0,5.0,1.0,110.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0
cauliflower,25.0,0.0,0.0,0.0,30.0,1.0,270.0,8.0,5.0,2.0,2.0,8.0,2.0,2.0,0.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0
celery,15.0,0.0,0.0,0.0,115.0,5.0,260.0,7.0,4.0,1.0,2.0,8.0,2.0,0.0,10.0,15.0,4.0,2.0,0.0,0.0,0.0,0.0
cucumber,10.0,0.0,0.0,0.0,0.0,0.0,140.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0
radishes,10.0,0.0,0.0,0.0,55.0,2.0,190.0,5.0,3.0,1.0,1.0,4.0,2.0,0.0,0.0,30.0,2.0,2.0,0.0,0.0,0.0,0.0
summeresquash,20.0,0.0,0.0,0.0,0.0,0.0,260.0,7.0,4.0,1.0,2.0,8.0,2.0,1.0,6.0,30.0,2.0,2.0,0.0,0.0,0.0,0.0
sweetcorn,90.0,20.0,2.5,4.0,0.0,0.0,250.0,7.0,18.0,6.0,2.0,8.0,5.0,4.0,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
sweetpotato,100.0,0.0,0.0,0.0,70.0,3.0,440.0,13.0,23.0,8.0,4.0,16.0,7.0,2.0,120.0,30.0,4.0,4.0,0.0,0.0,0.0,0.0
tomato,25.0,0.0,0.0,0.0,20.0,1.0,340.0,10.0,5.0,2.0,1.0,4.0,3.0,1.0,20.0,40.0,2.0,4.0,0.0,0.0,0.0,0.0
apple,130.0,0.0,0.0,0.0,0.0,0.0,260.0,7.0,34.0,11.0,5.0,20.0,25.0,1.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0
avocado,50.0,35.0,4.5,7.0,0.0,0.0,140.0,4.0,3.0,1.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
banana,110.0,0.0,0.0,0.0,0.0,0.0,450.0,13.0,30.0,10.0,3.0,12.0,19.0,1.0,2.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0
cantaloupe,50.0,0.0,0.0,0.0,20.0,1.0,240.0,7.0,12.0,4.0,1.0,4.0,11.0,1.0,120.0,80.0,2.0,2.0,0.0,0.0,0.0,0.0
grapefruit,60.0,0.0,0.0,0.0,0.0,0.0,160.0,5.0,15.0,5.0,2.0,8.0,11.0,1.0,35.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0
grapes,90.0,0.0,0.0,0.0,15.0,1.0,240.0,7.0,23.0,8.0,1.0,4.0,20.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
honeydewemelon,50.0,0.0,0.0,0.0,30.0,1.0,210.0,6.0,12.0,4.0,1.0,4.0,11.0,1.0,2.0,45.0,2.0,2.0,0.0,0.0,0.0,0.0
kiwifruit,90.0,10.0,1.0,2.0,0.0,0.0,450.0,13.0,20.0,7.0,4.0,16.0,13.0,1.0,2.0,240.0,4.0,2.0,0.0,0.0,0.0,0.0
lemon,15.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,5.0,2.0,2.0,8.0,2.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0
lime,20.0,0.0,0.0,0.0,0.0,0.0,75.0,2.0,7.0,2.0,2.0,8.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
nectarine,60.0,5.0,0.5,1.0,0.0,0.0,250.0,7.0,15.0,5.0,2.0,8.0,11.0,1.0,8.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0
greensnapbeans,20.0,0.0,0.0,0.0,0.0,0.0,200.0,6.0,5.0,2.0,3.0,12.0,2.0,1.0,4.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0
greenecabbage,25.0,0.0,0.0,0.0,20.0,1.0,190.0,5.0,5.0,2.0,2.0,8.0,3.0,1.0,0.0,70.0,4.0,2.0,0.0,0.0,0.0,0.0
greenonion,10.0,0.0,0.0,0.0,10.0,0.0,70.0,2.0,2.0,1.0,1.0,4.0,1.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0
iceberglettuce,10.0,0.0,0.0,0.0,10.0,0.0,125.0,4.0,2.0,1.0,1.0,4.0,2.0,1.0,6.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0
leaflettuce,15.0,0.0,0.0,0.0,35.0,1.0,170.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,130.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0
mushrooms,20.0,0.0,0.0,0.0,15.0,0.0,300.0,9.0,3.0,1.0,1.0,4.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
onion,45.0,0.0,0.0,0.0,5.0,0.0,190.0,5.0,11.0,4.0,3.0,12.0,9.0,1.0,0.0,20.0,4.0,4.0,0.0,0.0,0.0,0.0
potato,110.0,0.0,0.0,0.0,0.0,0.0,620.0,18.0,26.0,9.0,2.0,8.0,1.0,3.0,0.0,45.0,2.0,6.0,0.0,0.0,0.0,0.0
orange,80.0,0.0,0.0,0.0,0.0,0.0,250.0,7.0,19.0,6.0,3.0,12.0,14.0,1.0,2.0,130.0,6.0,0.0,0.0,0.0,0.0,0.0
peach,60.0,0.0,0.5,1.0,0.0,0.0,230.0,7.0,15.0,5.0,2.0,8.0,13.0,1.0,6.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0
pear,100.0,0.0,0.0,0.0,0.0,0.0,190.0,5.0,26.0,9.0,6.0,24.0,16.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
pineapple,50.0,0.0,0.0,0.0,10.0,0.0,120.0,3.0,13.0,4.0,1.0,4.0,10.0,1.0,2.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0
plums,70.0,0.0,0.0,0.0,0.0,0.0,230.0,7.0,19.0,6.0,2.0,8.0,16.0,1.0,8.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
strawberries,50.0,0.0,0.0,0.0,0.0,0.0,170.0,5.0,11.0,4.0,2.0,8.0,8.0,1.0,0.0,160.0,2.0,2.0,0.0,0.0,0.0,0.0
sweetecherries,100.0,0.0,0.0,0.0,0.0,0.0,350.0,10.0,26.0,9.0,1.0,4.0,16.0,1.0,2.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0
tangerine,50.0,0.0,0.0,0.0,0.0,0.0,160.0,5.0,13.0,4.0,2.0,8.0,9.0,1.0,6.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0
watermelon,80.0,0.0,0.0,0.0,0.0,0.0,270.0,8.0,21.0,7.0,1.0,4.0,20.0,1.0,30.0,25.0,2.0,4.0,0.0,0.0,0.0,0.0
bluecrab,100.0,10.0,1.0,2.0,330.0,14.0,300.0,9.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,4.0,10.0,4.0,0.0,0.0,95.0,32.0
catfish,130.0,60.0,6.0,9.0,40.0,2.0,230.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,10.0,50.0,17.0
clams,110.0,15.0,1.5,2.0,95.0,4.0,470.0,13.0,6.0,2.0,0.0,0.0,0.0,17.0,10.0,0.0,8.0,30.0,0.0,0.0,80.0,27.0
cod,90.0,5.0,1.0,2.0,65.0,3.0,460.0,13.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,2.0,2.0,0.0,0.0,50.0,17.0
floundersole,100.0,15.0,1.5,2.0,100.0,4.0,390.0,11.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,18.0
haddock,100.0,10.0,1.0,2.0,85.0,4.0,340.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,2.0,6.0,0.0,0.0,70.0,23.0
halibut,120.0,15.0,2.0,3.0,60.0,3.0,500.0,14.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,2.0,6.0,0.0,0.0,40.0,13.0
lobster,80.0,0.0,0.5,1.0,320.0,13.0,300.0,9.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,6.0,2.0,0.0,0.0,60.0,20.0
oceanperch,110.0,20.0,2.0,3.0,95.0,4.0,290.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,10.0,4.0,0.5,3.0,45.0,15.0
orangeroughy,80.0,5.0,1.0,2.0,70.0,3.0,340.0,10.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,4.0,2.0,0.0,0.0,20.0,7.0
oysters,100.0,35.0,4.0,6.0,300.0,13.0,220.0,6.0,6.0,2.0,0.0,0.0,0.0,10.0,0.0,6.0,6.0,45.0,1.0,5.0,80.0,27.0
pollock,90.0,10.0,1.0,2.0,110.0,5.0,370.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,2.0,0.0,0.0,80.0,27.0
rainbowtrout,140.0,50.0,6.0,9.0,35.0,1.0,370.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,4.0,8.0,2.0,2.0,10.0,55.0,18.0
rockfish,110.0,15.0,2.0,3.0,70.0,3.0,440.0,13.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,2.0,2.0,0.0,0.0,40.0,13.0
salmonatlanticcohosockeyechinook,200.0,90.0,10.0,15.0,55.0,2.0,430.0,12.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,4.0,2.0,2.0,2.0,10.0,70.0,23.0
salmonechumpink,130.0,40.0,4.0,6.0,65.0,3.0,420.0,12.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,2.0,4.0,1.0,5.0,70.0,23.0
scallops,140.0,10.0,1.0,2.0,310.0,13.0,430.0,12.0,5.0,2.0,0.0,0.0,0.0,27.0,2.0,0.0,4.0,14.0,0.0,0.0,65.0,22.0
shrimp,100.0,10.0,1.5,2.0,240.0,10.0,220.0,6.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,4.0,6.0,10.0,0.0,0.0,170.0,57.0
swordfish,120.0,50.0,6.0,9.0,100.0,4.0,310.0,9.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,6.0,1.5,8.0,40.0,13.0
tilapia,110.0,20.0,2.5,4.0,30.0,1.0,360.0,10.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,2.0,1.0,5.0,75.0,25.0
tuna,130.0,15.0,1.5,2.0,40.0,2.0,480.0,14.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,2.0,2.0,4.0,0.0,0.0,50.0,17.0
